,Survived
331,0
733,0
382,0
704,0
813,0
118,0
536,0
361,0
29,0
55,1
865,1
595,0
239,0
721,0
81,1
259,1
486,1
716,1
800,0
781,1
542,0
326,0
534,0
535,1
483,1
762,1
533,1
713,0
390,1
495,0
482,0
377,0
365,0
412,1
468,0
409,0
7,0
580,1
155,0
880,1
425,0
101,0
199,0
424,0
298,1
884,0
247,1
478,0
305,1
316,1
2,1
405,0
742,1
260,0
367,1
158,0
554,1
829,1
677,1
380,1
626,0
302,0
432,1
522,0
404,0
843,0
355,0
464,0
753,0
212,0
449,1
79,1
148,0
428,0
60,0
660,1
804,1
588,0
765,1
265,0
133,1
708,1
544,0
346,1
821,1
633,0
456,0
500,0
430,1
445,1
650,0
172,1
450,0
314,0
332,0
801,1
90,0
834,0
181,0
581,1
795,0
69,0
131,0
334,1
597,0
135,0
164,0
28,1
783,0
193,1
869,1
715,0
525,0
381,1
140,0
173,0
6,0
718,0
685,0
73,0
882,0
328,1
453,1
145,0
234,0
220,1
370,1
811,0
132,0
694,0
864,0
185,0
41,0
547,1
108,0
603,0
56,1
394,1
706,1
549,1
24,0
351,0
429,1
434,0
51,0
526,1
816,0
569,1
264,0
436,0
613,0
693,0
352,0
18,0
666,0
582,0
83,0
61,1
272,1
285,0
695,0
746,0
12,0
182,0
444,1
552,0
223,0
513,1
628,0
587,1
692,1
523,1
664,1
176,0
841,0
678,0
163,0
248,1
570,1
787,0
74,1
113,0
635,1
501,0
104,0
114,0
368,1
92,0
497,0
89,0
336,0
879,1
817,0
828,1
543,1
548,0
94,0
11,1
431,1
43,1
42,0
329,1
167,0
779,1
537,1
735,0
499,0
178,0
583,0
784,0
593,0
177,0
644,1
710,1
615,1
383,1
257,1
734,0
335,0
551,0
15,1
3,1
411,0
256,1
451,0
473,1
697,1
393,1
222,0
506,1
567,0
420,0
324,0
530,1
9,1
249,0
22,1
356,1
221,0
601,0
766,0
874,1
528,0
340,1
743,0
519,0
203,0
237,1
93,0
730,1
440,1
559,1
284,0
184,1
791,0
487,0
153,0
75,0
656,0
631,0
277,0
68,1
825,0
188,0
271,1
662,0
711,0
236,0
88,1
757,0
117,0
125,1
731,0
289,1
238,0
0,0
881,0
467,0
827,1
395,0
531,0
126,0
278,0
691,1
116,0
228,0
622,1
655,0
598,0
516,1
274,1
318,1
606,0
144,0
634,0
558,1
809,1
745,0
369,1
268,1
623,0
307,1
423,0
310,1
354,0
46,0
349,0
371,0
479,1
576,1
261,1
195,1
890,0
744,1
107,1
866,1
59,0
658,0
263,0
568,0
100,0
443,1
490,0
687,0
799,0
640,0
169,0
179,0
304,0
341,1
57,0
858,1
149,0
124,0
703,0
50,0
353,0
823,1
142,1
470,0
399,1
575,0
320,0
19,1
792,0
707,1
723,0
407,1
557,0
38,0
175,0
245,0
740,1
602,0
768,0
764,0
154,0
287,0
750,1
17,1
127,1
322,1
255,1
770,0
856,1
190,1
115,0
737,1
180,0
301,1
679,1
638,0
649,1
616,0
596,1
517,0
875,1
45,0
807,0
157,0
665,0
171,0
16,0
511,0
48,0
862,1
749,0
515,0
617,0
480,0
283,1
589,0
225,0
26,0
848,0
437,1
844,0
364,0
229,0
37,0
857,1
374,0
469,1
859,0
758,0
651,1
194,1
760,0
868,0
503,0
861,0
741,0
579,1
888,0
162,0
630,1
152,0
684,0
629,0
675,0
111,0
226,1
618,1
103,0
421,0
419,0
586,0
119,0
53,1
151,1
403,0
839,1
207,1
752,0
717,1
8,1
722,0
36,1
452,0
253,0
303,1
667,0
571,1
636,0
714,0
262,0
610,0
297,0
414,1
150,0
705,0
789,0
550,1
488,0
147,0
146,1
836,0
826,0
870,0
348,1
463,0
325,1
186,1
123,1
759,1
608,1
143,0
851,0
197,0
609,1
279,1
293,0
400,1
122,0
183,1
202,0
438,0
246,0
415,0
788,1
129,0
637,0
402,0
794,0
689,1
810,0
219,0
641,1
812,0
672,0
815,0
624,0
855,1
680,0
386,0
863,0
509,1
267,1
732,0
441,0
496,1
112,0
232,0
774,1
607,1
671,0
373,0
872,0
751,1
233,1
806,0
676,0
317,0
648,0
410,0
798,0
358,1
258,1
627,1
632,1
282,0
376,1
384,0
224,1
846,0
728,0
472,1
347,1
505,0
639,0
878,0
824,0
803,1
619,0
761,0
645,1
754,1
556,1
850,0
577,1
85,1
242,0
698,0
159,0
524,0
35,0
540,1
170,0
654,0
786,1
755,1
838,1
95,0
563,0
240,0
574,0
690,1
460,1
553,1
780,1
206,0
392,0
397,0
756,0
217,0
4,0
642,0
797,1
612,1
738,0
546,1
725,0
683,0
98,1
727,1
573,1
406,0
502,0
47,1
32,1
200,0
134,0
27,0
847,0
230,1
489,1
378,0
288,1
418,0
674,0
391,1
592,0
498,0
138,0
62,0
471,0
647,1
128,1
867,0
520,1
64,0
14,0
156,1
40,0
492,0
379,0
187,1
763,1
216,1
52,1
337,1
748,0
719,0
724,1
295,0
701,1
251,0
726,1
461,0
455,1
887,1
269,1
201,0
161,1
555,0
729,0
401,0
702,0
476,0
771,0
105,0
565,0
389,1
1,1
832,0
561,0
80,0
205,0
34,0
775,0
508,0
427,1
454,0
366,1
91,0
339,0
564,0
345,1
776,0
241,1
13,0
315,1
600,1
387,1
273,0
166,1
883,0
646,0
818,0
484,1
873,0
504,1
831,1
243,0
566,0
562,0
686,0
189,0
782,0
699,0
475,0
681,1
510,1
58,1
474,0
560,0
747,1
252,0
21,1
313,0
459,0
160,0
276,0
191,0
385,0
805,0
413,0
491,0
343,0
769,0
308,0
661,0
130,0
663,0
871,1
99,0
372,0
87,0
458,1
330,1
214,0
466,0
121,0
614,0
20,0
700,1
71,0
106,1
270,0
860,0
435,1
102,0
